# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COGID
337	Hnd	cloud	bādal	138
#
338	Lit	cold	šáltas	139
339	oIs	cold	(hēla)	139
340	Arm	cold	(սառ- ‚eiskalt‘)	139
341	Ave	cold	sarǝta	139
342	San	cold	śíśira	139
343	Rus	cold	холодный	140
344	oIs	cold	kaldr	140
345	Bkm	cold	kald	140
346	Lat	cold	(gelidus)	140
347	aGr	cold	(γελανδρόν)	140
348	rGr	cold	κρύος	141
349	Arm	cold	c’urt	141
350	ToB	cold	B krośce	141
351	Lit	cold	(Lv: aũksts)	142
352	oIr	cold	úar	142
353	rIr	cold	fuar	142
354	Arm	cold	(oic)	142
355	Ave	cold	(aota)	142
356	Itn	cold	freddo	143
357	Lat	cold	frigidus	143
358	Alb	cold	ftohtë	144
359	aGr	cold	ψυχρός	145
360	Rus	cold	(īnja)	146
361	Lit	cold	(ižà)?	146
362	Hit	cold	ek-una-	146
363	Ave	cold	(isu)	146
364	Arm	cold	(paġ)	147
365	Hnd	cold	[ṭhaṅḍā]	147
#
366	oIs	come	koma	148
367	Bkm	come	komme	148
368	Itn	come	venire	148
369	Lat	come	veniō	148
370	aGr	come	(LIV:βάσκε!)	148
371	Arm	come	gal =ek-n	148
372	ToB	come	B käm-	148
373	Ave	come	(ā) ǰam-	148
374	San	come	(â)gam	148
375	Hnd	come	ā- (?)	148
376	Rus	come	приходи́ть	149
377	Rus	come	(pri-jti)	150
378	Lit	come	#NAME?	150
379	Hit	come	ú(w)e	150
380	Lit	come	(oPr: perēi-)	151
381	oIr	come	do-icc	151
382	rIr	come	#NAME?	151
383	Alb	come	[vij] L	152
384	aGr	come	ἔρχομαι	153
385	rGr	come	έρχομαι	153
386	Hit	come	(āri-)	153
387	Ave	come	Ri: ā ǰasaiti, ā aēti	154
388	Hnd	come	ānā	154
#
389	Rus	die	у-мирать	155
390	Lit	die	mir-ti	155
391	Itn	die	morire	155
392	Lat	die	mori-	155
393	aGr	die	(ἔμορτεν)	155
394	Arm	die	meṙnel	155
395	Hit	die	(mer-t)?[L]	155
396	Ave	die	miriiāite	155
397	San	die	ṃr/mar-	155
398	Hnd	die	mar	155
399	oIs	die	deya	156
400	Bkm	die	[dø]	156
401	oIr	die	at-baill	157
402	oIr	die	(bā́id)	158
403	rIr	die	faigh bás	158
404	Alb	die	vdes	159
